nome;preco;descricao
Goianinho Refrigerante Lt 350Ml;R$ 2,79;1 X 350 mL
Soda Refrigerante Limonada Antarctica 2 L;R$ 6,99;1 X 2 L
Antarctica Refrigerante Guaraná;R$ 5,49;1 X 1.5 L
Soda Antarctica Refrigerante Limonada;R$ 4,49;1 X 600 mL
Mineiro Refrigerante Guaraná;R$ 6,99;1 X 2 L
Goianinho Refrigerante Guarana;R$ 2,79;1 X 500 mL
Refrigerante Sukita Laranja Lata 350Ml;R$ 2,89;1 X 350 mL
Refrigerante Guaraná Baré Garrafa 2L;R$ 5,49;1 X 2 L
Mineiro Refrigerante Guaraná;R$ 3,99;1 X 600 mL
Refrigerante Sukita Laranja Garrafa 600Ml;R$ 4,49;1 X 600 mL
Guaraná Antarctica Refrigerante sem Açúcar;R$ 7,99;1 X 2.0 L
Petra Água Tônica Comum;R$ 3,39;1 X 350 mL
Pitchula Refrigerante Cola;R$ 1,59;1 X 250 mL
Pitchula Refrigerante Guaraná;R$ 1,59;1 X 250 mL
Yakult Suco de Maçã;R$ 3,49;1 X 200 mL
Aurora Suco de Uva Tinto Integral;R$ 25,90;1 X 1.5 L
Maguary Néctar de Uva;R$ 3,29;1 X 200 mL
Adoralle Néctar Pêssego;R$ 1,99;1 X 200 mL
Casa Madeira Suco de Uva Tinto Integral;R$ 29,90;1 X 1 L
Campo Largo Suco de Uva Integral;R$ 14,90;1 X 900 mL
Adoralle Suco de Caju;R$ 1,99;1 X 200 mL
Prat's Suco de Laranja Integral;R$ 17,90;1 X 900.0 mL
Natural One Suco Misto de Uva e Maçã;R$ 23,90;1 X 1.5 L
Adoralle Suco de Uva Integral;R$ 17,90;1 X 1.5 L
Prats Suco de Laranja Integral;R$ 25,90;1 X 1.7 L
Maguary Néctar de Laranja;R$ 3,29;1 X 200 mL
Aurora Suco Uva Tinto Integral;R$ 22,90;1 X 1.5 L
Campo Largo Suco de Maçã Integral;R$ 3,99;1 X 200 mL
