;nome;preco;descricao
52;Melão Matisse;R$ 24,94/u;Aprox. 1560g/ud
53;Uva Rosada;R$ 19,99/kg;A partir de 250g
54;Moving Bebida Proteica Abacaxi e Hortelã;R$ 12,90;270 mL
55;Ameixa Importada;R$ 2,40/u;Aprox. 120g/ud
56;Batata Inglesa;R$ 1,44/u;Aprox. 150g/ud
57;Tomate Salada;R$ 1,70/u;Aprox. 170g/ud
58;Cebola;R$ 1,98/u;Aprox. 220g/ud
59;Cebola;R$ 3,08/u;Aprox. 220g/ud
60;Cebola Roxa;R$ 2,40/u;Aprox. 200g/ud
61;Atacadão Tomate Saladete;R$ 1,71/u;Aprox. 190g/ud
62;Sweett Grape Tomate Uva;R$ 7,99;180 g
63;Gengibre;R$ 3,90/u;Aprox. 130g/ud
64;Alho Agranel;R$ 24,99/kg;A partir de 500g
65;Santa Rita Chuchu;R$ 9,99;350 g
66;Mister Rabbit Cenoura Mini Classic;R$ 15,99;250 g
67;Super Horti Cenoura;R$ 9,99;190 g
68;Repolho Verde;R$ 4,00/u;Aprox. 445g/ud
69;Santa Rita Cará;R$ 9,99;450 g
70;Trebeschi Tomate Cereja Rama;R$ 8,99;200 g
71;Batata Doce Branca;R$ 3,20/u;Aprox. 400g/ud
72;Repolho Roxo;R$ 3,00/u;Aprox. 300g/ud
73;Machadinho Mandioca Descascada;R$ 5,99;700 g
74;Santa Rita Vagem;R$ 12,99;250 g
75;Santa Rita Jiló Bandeja;R$ 6,99;400 g
76;Trebeschi Mini Pimentão Colorido;R$ 6,99;150 g
77;Benassi Hortelã;R$ 19,99;100 g
78;Santa Rita Abóbora Verde;R$ 11,99;400 g
79;Santa Rita Pepino Rubi;R$ 12,99;350 g
80;Santa Rita Pepino Rubi;R$ 9,99;350 g
81;Pera Portuguêsa;R$ 4,00/u;Aprox. 200g/ud
82;Louro Velly Folha;R$ 2,99;10 g
83;Santa Rita Inhame;R$ 8,99;450 g
84;Santa Rita Abóbora Menina;R$ 11,99;500 g
85;Sadia Ervilha Vegetal;R$ 10,90;300 g
86;Trebeschi Pimentão Block Amarelo;R$ 7,49;180 g
87;Santa Rita Quiabo;R$ 7,99;300 g
88;Santa Rita Beterraba;R$ 7,99;500 g
89;Sertaneja Mandioca;R$ 9,99;700 g
90;Alface Chacara Folhagens Americana;R$ 9,99;1 Und
91;Brocolis/Couve Flor Hani Alim 300 g;R$ 12,99;250 g
92;Santa Rita Abóbora Menina;R$ 3,00/u;Aprox. 500g/ud
